t_s,alt_m,downrange_km,V_mps,gamma_deg,q_Pa,Qdot_Wm2,sigma_deg,Mach,lat_deg,lon_deg
124.7,11874.9783939654,505.49032782039205,2191.91126947448,-3.801315753233597,16482.760189569544,148507.83783576902,68.26153920847952,9.798241465322302,-12.768303300034656,-176.41504958590443
124.80000000000001,11860.49769460177,505.69710670757826,2187.2865355183594,-3.7826259170826275,16434.705512220185,147619.31810014683,68.26153920847952,9.777567635315398,-12.764848770473312,-176.41376994213218
124.9,11846.118564999662,505.9033822377076,2182.675250583129,-3.7639832211258994,16386.696415424853,146736.2246993016,68.26153920847952,9.756953929689404,-12.761402759605044,-176.41248923671526
125.0,11831.840439083055,506.1091557488908,2178.0774018452885,-3.745387834849899,16338.734619053033,145858.534129351,68.26153920847952,9.736400291077334,-12.75796524448342,-176.41120748235574
125.10000000000001,11817.662752638571,506.3144285794603,2173.4929760002788,-3.726839925597018,16290.821817277441,144986.22276273515,68.26153920847952,9.715906659962094,-12.754536202160415,-176.40992469168992
125.2,11803.584943323396,506.5192020679039,2168.9219592697027,-3.7083396585770156,16242.95967875053,144119.26685370554,68.26153920847952,9.695472974708766,-12.751115609687467,-176.40864087728855
125.30000000000001,11789.606450673193,506.72347755279213,2164.3643374084954,-3.6898871968785407,16195.149846782213,143257.6425437224,68.26153920847952,9.675099171596655,-12.74770344411651,-176.40735605165654
125.4,11775.726716111414,506.9272563727221,2159.8200957120434,-3.6714827014807403,16147.393939516802,142401.32586675277,68.26153920847952,9.654785184851113,-12.744299682501,-176.40607022723307
125.5,11761.945182955358,507.1305398662929,2155.289219023255,-3.6531263312649305,16099.693550115744,141550.29275450003,68.26153920847952,9.634530946675149,-12.740904301896933,-176.40478341639158
125.60000000000001,11748.261296425015,507.33332937197457,2150.771691739577,-3.6348182430263365,16052.0502469373,140704.51904152564,68.26153920847952,9.614336387280783,-12.737517279363843,-176.40349563143965
125.7,11734.67450364912,507.5356262281182,2146.2674978199625,-3.6165585914858926,16004.465573721314,139863.98047030112,68.26153920847952,9.594201434920208,-12.734138591965793,-176.40220688461898
125.80000000000001,11721.18425367307,507.73743177284825,2141.776620791786,-3.5983475293021074,15956.941049772091,139028.65269615987,68.26153920847952,9.574126015916683,-12.730768216772352,-176.4009171881055
125.9,11707.789997464512,507.93874734404267,2137.299043757706,-3.580185207082985,15909.478170145509,138198.51129217685,68.26153920847952,9.554110054695217,-12.727406130859556,-176.39962655400925
